theta,xsec
0.1000E-01,0.8649E+16
1.000,0.8573E+08
2.000,0.5035E+07
3.000,0.8960E+06
4.000,0.2507E+06
5.000,0.9186E+05
6.000,0.4148E+05
7.000,0.2257E+05
8.000,0.1443E+05
9.000,0.1042E+05
10.00,8125.
11.00,6605.
12.00,5465.
13.00,4533.
14.00,3738.
15.00,3046.
16.00,2443.
17.00,1922.
18.00,1479.
19.00,1109.
20.00,805.8
21.00,564.2
22.00,377.2
23.00,237.5
24.00,137.8
25.00,70.83
26.00,29.89
27.00,8.705
28.00,1.777
29.00,4.402
30.00,12.71
31.00,23.64
32.00,34.92
33.00,44.95
34.00,52.74
35.00,57.79
36.00,60.00
37.00,59.54
38.00,56.82
39.00,52.31
40.00,46.57
41.00,40.12
42.00,33.47
43.00,27.01
44.00,21.07
45.00,15.88
46.00,11.59
47.00,8.238
48.00,5.815
49.00,4.251
50.00,3.435
51.00,3.231
52.00,3.493
53.00,4.075
54.00,4.840
55.00,5.668
56.00,6.461
57.00,7.141
58.00,7.657
59.00,7.978
60.00,8.093
61.00,8.009
62.00,7.746
63.00,7.334
64.00,6.810
65.00,6.214
66.00,5.585
67.00,4.962
68.00,4.378
69.00,3.865
70.00,3.444
71.00,3.134
72.00,2.944
73.00,2.879
74.00,2.938
75.00,3.113
76.00,3.394
77.00,3.765
78.00,4.209
79.00,4.705
80.00,5.233
81.00,5.772
82.00,6.299
83.00,6.795
84.00,7.242
85.00,7.624
86.00,7.927
87.00,8.141
88.00,8.259
89.00,8.278
90.00,8.199
91.00,8.026
92.00,7.764
93.00,7.426
94.00,7.023
95.00,6.569
96.00,6.082
97.00,5.578
98.00,5.074
99.00,4.587
100.0,4.131
101.0,3.721
102.0,3.368
103.0,3.079
104.0,2.860
105.0,2.715
106.0,2.641
107.0,2.634
108.0,2.688
109.0,2.794
110.0,2.939
111.0,3.112
112.0,3.298
113.0,3.483
114.0,3.655
115.0,3.802
116.0,3.911
117.0,3.975
118.0,3.988
119.0,3.946
120.0,3.848
121.0,3.698
122.0,3.501
123.0,3.263
124.0,2.995
125.0,2.708
126.0,2.416
127.0,2.130
128.0,1.865
129.0,1.631
130.0,1.442
131.0,1.304
132.0,1.227
133.0,1.212
134.0,1.262
135.0,1.374
136.0,1.543
137.0,1.761
138.0,2.018
139.0,2.301
140.0,2.595
141.0,2.884
142.0,3.153
143.0,3.386
144.0,3.569
145.0,3.691
146.0,3.741
147.0,3.713
148.0,3.605
149.0,3.418
150.0,3.159
151.0,2.836
152.0,2.466
153.0,2.065
154.0,1.654
155.0,1.258
156.0,0.9010
157.0,0.6093
158.0,0.4082
159.0,0.3213
160.0,0.3700
161.0,0.5718
162.0,0.9398
163.0,1.482
164.0,2.200
165.0,3.089
166.0,4.140
167.0,5.335
168.0,6.650
169.0,8.058
170.0,9.526
171.0,11.02
172.0,12.49
173.0,13.92
174.0,15.25
175.0,16.44
176.0,17.47
177.0,18.31
178.0,18.92
179.0,19.30
180.0,19.43
