theta,xsec
0.000,10.74
0.5000,10.74
1.000,10.71
1.500,10.67
2.000,10.61
2.500,10.53
3.000,10.44
3.500,10.34
4.000,10.22
4.500,10.08
5.000,9.933
5.500,9.772
6.000,9.599
6.500,9.415
7.000,9.221
7.500,9.017
8.000,8.805
8.500,8.586
9.000,8.361
9.500,8.131
10.00,7.896
10.50,7.658
11.00,7.418
11.50,7.177
12.00,6.935
12.50,6.693
13.00,6.453
13.50,6.215
14.00,5.979
14.50,5.748
15.00,5.520
15.50,5.298
16.00,5.081
16.50,4.869
17.00,4.665
17.50,4.466
18.00,4.275
18.50,4.091
19.00,3.915
19.50,3.747
20.00,3.586
20.50,3.433
21.00,3.288
21.50,3.151
22.00,3.022
22.50,2.900
23.00,2.786
23.50,2.679
24.00,2.580
24.50,2.487
25.00,2.402
25.50,2.322
26.00,2.249
26.50,2.182
27.00,2.120
27.50,2.063
28.00,2.011
28.50,1.964
29.00,1.921
29.50,1.882
30.00,1.847
30.50,1.814
31.00,1.785
31.50,1.759
32.00,1.734
32.50,1.712
33.00,1.692
33.50,1.673
34.00,1.656
34.50,1.640
35.00,1.624
35.50,1.610
36.00,1.596
36.50,1.582
37.00,1.568
37.50,1.554
38.00,1.541
38.50,1.527
39.00,1.513
39.50,1.498
40.00,1.483
40.50,1.467
41.00,1.451
41.50,1.435
42.00,1.417
42.50,1.400
43.00,1.381
43.50,1.362
44.00,1.342
44.50,1.322
45.00,1.301
45.50,1.280
46.00,1.258
46.50,1.235
47.00,1.212
47.50,1.189
48.00,1.166
48.50,1.142
49.00,1.118
49.50,1.094
50.00,1.069
50.50,1.045
51.00,1.021
51.50,0.9962
52.00,0.9720
52.50,0.9479
53.00,0.9240
53.50,0.9004
54.00,0.8771
54.50,0.8541
55.00,0.8315
55.50,0.8093
56.00,0.7876
56.50,0.7663
57.00,0.7456
57.50,0.7255
58.00,0.7059
58.50,0.6869
59.00,0.6686
59.50,0.6508
60.00,0.6337
60.50,0.6173
61.00,0.6016
61.50,0.5865
62.00,0.5721
62.50,0.5583
63.00,0.5453
63.50,0.5328
64.00,0.5211
64.50,0.5100
65.00,0.4996
65.50,0.4898
66.00,0.4805
66.50,0.4719
67.00,0.4639
67.50,0.4565
68.00,0.4495
68.50,0.4432
69.00,0.4373
69.50,0.4319
70.00,0.4269
70.50,0.4224
71.00,0.4183
71.50,0.4146
72.00,0.4112
72.50,0.4082
73.00,0.4056
73.50,0.4032
74.00,0.4010
74.50,0.3992
75.00,0.3975
75.50,0.3960
76.00,0.3948
76.50,0.3937
77.00,0.3927
77.50,0.3918
78.00,0.3911
78.50,0.3904
79.00,0.3898
79.50,0.3892
80.00,0.3886
80.50,0.3881
81.00,0.3876
81.50,0.3870
82.00,0.3864
82.50,0.3858
83.00,0.3851
83.50,0.3844
84.00,0.3836
84.50,0.3827
85.00,0.3817
85.50,0.3807
86.00,0.3795
86.50,0.3782
87.00,0.3769
87.50,0.3754
88.00,0.3738
